Date,Vau Dejes Meteo - Air temperature - Raw,Kukes Meteo - Air temperature - Raw,Okshtun Meteo - Air temperature - Raw,Koman Meteo - Air temperature - Raw,Dragobi Meteo - Air temperature - Raw,Fierze Meteo - Air temperature - Raw,Lin Meteo - Air temperature - Raw,Theth Meteo - Air temperature - Raw,Peshkopi Meteo - Air temperature - Raw,Zogaj Meteo - Air temperature - Raw,Puke Meteo - Air temperature - Raw,Shishtavec Meteo - Air temperature - Raw
1/1/2017 12:55,,,,,18.9,,,,,,,
1/1/2017 13:00,,,,,18.9,,,,,,,
1/1/2017 13:05,,,,,19.1,,,,,,,
1/1/2017 13:10,,,,,19.1,,,,,,,
1/1/2017 13:15,,,,,19.1,,,,,,,
1/1/2017 13:20,,,,,19.1,,,,,,,
1/1/2017 13:25,,,,,19.2,,,,,,,
1/1/2017 13:30,,,,,19.2,,,,,,,
1/1/2017 13:35,,,,,19.2,,,,,,,
1/1/2017 13:40,,,,,,,,,,,,
1/1/2017 13:45,,,,,19.1,,,,,,,
1/1/2017 13:50,,,,,19.1,,,,,,,
1/1/2017 13:55,,,,,19.1,,,,,,,
1/1/2017 14:00,,,,,19.1,,,,,,,
18-10-2017 09:20:00,,,,,,,,,,,,
18-10-2017 09:25:00,,,,,,,,,,,,
18-10-2017 09:30:00,,,,,,,,,,,,
18-10-2017 09:35:00,,,,,,,,,,,,
18-10-2017 09:40:00,,,,,,,,,,,,
18-10-2017 09:45:00,,,,,,,,,,,,
18-10-2017 09:50:00,,,,,,,,,,,,
18-10-2017 09:55:00,,,,,,,,,,,,
18-10-2017 10:00:00,,,,,,,,,,,,
18-10-2017 10:05:00,,,,,,,,,,,,
18-10-2017 10:10:00,,,,,,,,,,,,
18-10-2017 10:15:00,,,,,,,,,,,,
18-10-2017 10:20:00,,,,,,,,,,,,
18-10-2017 10:25:00,,,,,,,,,,,,
18-10-2017 10:30:00,,,,,,,,,,,,
18-10-2017 10:35:00,,,,,19.9,,,,,,,
18-10-2017 10:40:00,,,,,20,,,,,,,
18-10-2017 10:45:00,,,,,20.1,,,,,,,
18-10-2017 10:50:00,,,,,20.1,,,,,,,
18-10-2017 10:55:00,,,,,20.2,,,,,,,
18-10-2017 11:00:00,,,,,20.2,,,,,,,
18-10-2017 11:05:00,,,,,20.2,,,,,,,
18-10-2017 11:10:00,,,,,20.3,,,,,,,
18-10-2017 11:15:00,,,,,20.3,,,,,,,
18-10-2017 11:20:00,,,,,20.3,,,,,,,
18-10-2017 11:25:00,,,,,20.4,,,,,,,
